Reference,Student,LPIPS,SSIM
113590049.png,113590049.png,0.0,1.0
113590049.png,113590059.png,0.35212409496307373,0.5342393723895272
113590049.png,112590058.jpg,0.36234235763549805,0.4372278271306705
113590049.png,112590040.png,0.373017281293869,0.500797548360176
113590049.png,113AB0018.png,0.37547850608825684,0.5289307262500462
113590049.png,113590045.png,0.3760626018047333,0.4934149881896849
113590049.png,113590018.png,0.37738171219825745,0.5125211883625821
113590049.png,113590008.png,0.3834199607372284,0.45726917929511657
113590049.png,112590454.png,0.38468998670578003,0.5384355515924906
113590049.png,113590023.png,0.38946959376335144,0.4670431158455714
113590049.png,113590044.png,0.3910922408103943,0.4697985291575753
113590049.png,113590061.png,0.39109569787979126,0.5560168768430492
113590049.png,113590050.png,0.39404869079589844,0.48383759264708887
113590049.png,113590036.png,0.39639657735824585,0.449222249950924
113590049.png,113590028.png,0.3968178629875183,0.5264919503513796
113590049.png,113590021.png,0.40206265449523926,0.5574557052967437
113590049.png,113590001.png,0.4079743027687073,0.4922425219779413
113590049.png,113590011.png,0.4099968671798706,0.46912021614305993
113590049.png,113590056.png,0.4187670648097992,0.5285678069044245
113590049.png,113590015.png,0.4223027229309082,0.49495070101183525
113590049.png,113590051.png,0.4284577965736389,0.5223551632568285
113590049.png,113590006.png,0.42865198850631714,0.42912187887374925
113590049.png,113370239.png,0.43034711480140686,0.5336978739174179
113590049.png,113590031.png,0.4356154501438141,0.5179400771980535
113590049.png,113590062.png,0.4360548257827759,0.43574175051969866
113590049.png,113590052.png,0.43977925181388855,0.479691687327482
113590049.png,111590047.png,0.44119858741760254,0.5231412986313332
113590049.png,113AC1012.png,0.44640520215034485,0.532126571872146
113590049.png,113590026.png,0.44668513536453247,0.5190025116081917
113590049.png,113590039.png,0.45180708169937134,0.5012712963428037
113590049.png,113590003.png,0.45704537630081177,0.5169182103011253
113590049.png,113590002.png,0.45850327610969543,0.46619061980648235
113590049.png,111590062.png,0.4602126479148865,0.487496879097486
113590049.png,113590057.png,0.46071913838386536,0.466404567544494
113590049.png,112590455.png,0.4629412889480591,0.4873168975743766
113590049.png,110590455.png,0.4689631760120392,0.49967409933117823
113590049.png,113590060.png,0.46965670585632324,0.5032129597527921
113590049.png,113590042.png,0.4763028919696808,0.4689033178281883
113590049.png,114054809.png,0.4770132005214691,0.4900857666821388
113590049.png,113590022.png,0.478708416223526,0.49324536861113655
113590049.png,111590028.png,0.4956289529800415,0.5054000774159063
113590049.png,111590455.png,0.5155029892921448,0.42959506534580044
113590049.png,113590047.png,0.5466509461402893,0.5316122237791833
113590049.png,113590004.png,0.5467615127563477,0.5173157550183105
113590049.png,113590010.png,0.5605725646018982,0.43209503850189845
113590049.png,113590043.png,0.5685194730758667,0.5322952857342312
113590049.png,113590025.png,0.5745898485183716,0.5337088094671453
113590049.png,111590042.png,0.5955086350440979,0.5345851474375861
